2026-05-21 13:54:40 | INFO     | __main__:main:22 - Starting Desktop Pet...
2026-05-21 13:54:41 | INFO     | __main__:main:58 - Desktop Pet is running. Double-click the pet to chat.
2026-05-21 13:56:19 | WARNING  | core.history.retriever:_ensure_client:43 - sentence-transformers unavailable, RAG disabled: cannot import name 'PreTrainedModel' from 'transformers' (D:\anaconda3\envs\d2l\lib\site-packages\transformers\__init__.py)
2026-05-21 14:19:42 | INFO     | __main__:cleanup:38 - Desktop Pet shutting down
2026-05-21 14:21:27 | INFO     | __main__:main:22 - Starting Desktop Pet...
2026-05-21 14:21:28 | INFO     | __main__:main:58 - Desktop Pet is running. Double-click the pet to chat.
2026-05-21 14:22:26 | WARNING  | core.history.retriever:_ensure_client:43 - sentence-transformers unavailable, RAG disabled: cannot import name 'PreTrainedModel' from 'transformers' (d:\anaconda3\envs\d2l\lib\site-packages\transformers\__init__.py)
2026-05-21 14:22:32 | WARNING  | core.agent.tools:_run_command:462 - Agent executing command: powershell -Command "Get-Date -Format 'yyyy-MM-dd dddd'"
2026-05-21 14:22:34 | WARNING  | core.llm.client:chat_with_tools:63 - LLM tool call attempt 1 failed: Error code: 400 - {'error': {'message': 'The `reasoning_content` in the thinking mode must be passed back to the API.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
2026-05-21 14:22:36 | WARNING  | core.llm.client:chat_with_tools:63 - LLM tool call attempt 2 failed: Error code: 400 - {'error': {'message': 'The `reasoning_content` in the thinking mode must be passed back to the API.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
2026-05-21 14:22:38 | WARNING  | core.llm.client:chat_with_tools:63 - LLM tool call attempt 3 failed: Error code: 400 - {'error': {'message': 'The `reasoning_content` in the thinking mode must be passed back to the API.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
2026-05-21 14:22:38 | ERROR    | core.agent.executor:run:67 - LLM call failed: Error code: 400 - {'error': {'message': 'The `reasoning_content` in the thinking mode must be passed back to the API.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
2026-05-21 14:22:51 | INFO     | __main__:cleanup:38 - Desktop Pet shutting down
2026-05-21 15:11:17 | INFO     | core.history.retriever:_ensure_client:37 - ChromaDB + ONNX embedding ready
2026-05-21 15:11:40 | INFO     | core.history.retriever:_ensure_client:37 - ChromaDB + ONNX embedding ready
2026-05-21 15:12:28 | INFO     | __main__:main:22 - Starting Desktop Pet...
2026-05-21 15:12:30 | INFO     | __main__:main:58 - Desktop Pet is running. Double-click the pet to chat.
2026-05-21 15:18:26 | INFO     | core.history.retriever:_ensure_client:37 - ChromaDB + ONNX embedding ready
2026-05-21 15:19:04 | INFO     | __main__:main:22 - Starting Desktop Pet...
2026-05-21 15:19:05 | INFO     | __main__:main:58 - Desktop Pet is running. Double-click the pet to chat.
2026-05-21 15:19:08 | INFO     | __main__:cleanup:38 - Desktop Pet shutting down
2026-05-21 15:19:25 | INFO     | core.history.retriever:_ensure_client:37 - ChromaDB + ONNX embedding ready
